Bitbucket Repo URL,Github Repo name
bitbucket.wtfast.net/projects/SOJOURNER/repos/beatrice,sojourner-beatrice
bitbucket.wtfast.net/projects/SOJOURNER/repos/docs,sojourner-docs
bitbucket.wtfast.net/projects/SOJOURNER/repos/spork,sojourner-spork
bitbucket.wtfast.net/projects/SOJOURNER/repos/susan,sojourner-susan
bitbucket.wtfast.net/projects/SOJOURNER/repos/susanclient,sojourner-susanclient
bitbucket.wtfast.net/projects/SOJOURNER/repos/traceomaticclient,sojourner-traceomaticclient
,
bitbucket.wtfast.net/projects/SP/repos/tinysink,sp-tinysink
bitbucket.wtfast.net/projects/SP/repos/traceomatic,sp-traceomatic
bitbucket.wtfast.net/projects/SP/repos/traceomatic-api,sp-traceomatic-api
,
bitbucket.wtfast.net/projects/ST/repos/game-servers,st-game-servers
bitbucket.wtfast.net/projects/ST/repos/ipam,st-ipam
bitbucket.wtfast.net/projects/ST/repos/oucstats,st-oucstats
,
bitbucket.wtfast.net/projects/SUTE/repos/environment,sute-environment
bitbucket.wtfast.net/projects/SUTE/repos/modules,sute-modules
bitbucket.wtfast.net/projects/SUTE/repos/pancake,sute-pancake
bitbucket.wtfast.net/projects/SUTE/repos/waffle,sute-waffle
,
bitbucket.wtfast.net/projects/SVN/repos/chaffee,svn-chaffee
bitbucket.wtfast.net/projects/SVN/repos/dev_ops-certs,svn-dev_ops-certs
bitbucket.wtfast.net/projects/SVN/repos/dev_ops-databases,svn-dev_ops-databases
bitbucket.wtfast.net/projects/SVN/repos/dev_ops-security,svn-dev_ops-security
bitbucket.wtfast.net/projects/SVN/repos/dev_ops-servers,svn-dev_ops-servers
bitbucket.wtfast.net/projects/SVN/repos/godot,svn-godot
,
bitbucket.wtfast.net/projects/TED/repos/googletest,ted-googletest
bitbucket.wtfast.net/projects/TED/repos/googletestsrc,ted-googletestsrc
bitbucket.wtfast.net/projects/TED/repos/googletestubuntu1404,ted-googletestubuntu1404
bitbucket.wtfast.net/projects/TED/repos/testrepo,ted-testrepo
,
bitbucket.wtfast.net/projects/TEST/repos/git_demo,test-git_demo
bitbucket.wtfast.net/projects/TEST/repos/gographfinder,test-gographfinder
bitbucket.wtfast.net/projects/TEST/repos/hello-world,test-hello-world
bitbucket.wtfast.net/projects/TEST/repos/iheartpony,test-iheartpony
bitbucket.wtfast.net/projects/TEST/repos/inserttargetintopf,test-inserttargetintopf
bitbucket.wtfast.net/projects/TEST/repos/jenkins_test,test-jenkins_test
bitbucket.wtfast.net/projects/TEST/repos/pleh,test-pleh
bitbucket.wtfast.net/projects/TEST/repos/postman,test-postman
bitbucket.wtfast.net/projects/TEST/repos/test1,test-test1
,
bitbucket.wtfast.net/projects/TT/repos/authtest,tt-authtest
,
bitbucket.wtfast.net/projects/TRAIN/repos/automatedgameconfig,train-automatedgameconfig
bitbucket.wtfast.net/projects/TRAIN/repos/donohelloworld,train-donohelloworld
bitbucket.wtfast.net/projects/TRAIN/repos/gitflowtesting,train-gitflowtesting
bitbucket.wtfast.net/projects/TRAIN/repos/gogit,train-gogit
bitbucket.wtfast.net/projects/TRAIN/repos/jessehelloworld,train-jessehelloworld
bitbucket.wtfast.net/projects/TRAIN/repos/tproxyrouter,train-tproxyrouter
bitbucket.wtfast.net/projects/TRAIN/repos/tracemap,train-tracemap
bitbucket.wtfast.net/projects/TRAIN/repos/vuejessedono,train-vuejessedono
,
bitbucket.wtfast.net/projects/WBP/repos/sql-installer,wbp-sql-installer
bitbucket.wtfast.net/projects/WBP/repos/windows-installer,wbp-windows-installer
,
bitbucket.wtfast.net/projects/WIN/repos/peper,win-peper
,
bitbucket.wtfast.net/projects/XRDCHK/repos/stevierepo,xrdchk-stevierepo
bitbucket.wtfast.net/projects/XRDCHK/repos/thtuaho,xrdchk-thtuaho
bitbucket.wtfast.net/projects/XRDCHK/repos/trustland,xrdchk-trustland
bitbucket.wtfast.net/projects/XRDCHK/repos/xternmodule1,xrdchk-xternmodule1